# ring_dco freq-vs-code sweep  bits=7 corner=ff vdd=3.6 temp=-40.0
#  code      freq_MHz     period_ns
      0       499.631        2.0015
      8       349.834        2.8585
     16       268.814        3.7200
     24       218.513        4.5764
     32       549.893        1.8185
     48       178.139        5.6136
     64       327.637        3.0522
     80       273.021        3.6627
     96       405.772        2.4644
    112       296.228        3.3758
    120       278.550        3.5900
    127       244.600        4.0883
