# ring_dco freq-vs-code sweep  bits=7 corner=ss vdd=3.0 temp=125.0
#  code      freq_MHz     period_ns
      0       209.548        4.7722
      8       148.995        6.7117
     16       115.340        8.6700
     24        94.274       10.6074
     32       242.114        4.1303
     48       202.375        4.9413
     64       146.308        6.8349
     80       142.449        7.0201
     96       177.261        5.6414
    112       200.993        4.9753
    120       201.715        4.9575
    127       215.558        4.6391
