# ring_dco freq-vs-code sweep  bits=7 corner=typical vdd=3.3 temp=25.0
#  code      freq_MHz     period_ns
      0       338.486        2.9543
      8       239.020        4.1838
     16       184.400        5.4230
     24       150.345        6.6514
     32       384.821        2.5986
     48       302.747        3.3031
     64       226.905        4.4071
     80       204.821        4.8823
     96       281.069        3.5578
    112       264.434        3.7817
    120       232.690        4.2976
    127       221.895        4.5066
