# ring_dco_binary freq-vs-code sweep  bits=6 corner=typical vdd=3.3 temp=25.0
#  code      freq_MHz     period_ns
      0       392.401        2.5484
      4       316.655        3.1580
      8       264.698        3.7779
     12       227.942        4.3871
     16       199.312        5.0172
     20       177.746        5.6260
     24       160.121        6.2453
     28       145.897        6.8541
     31       137.048        7.2967
     32       403.710        2.4770
     40       343.865        2.9081
     48       380.102        2.6309
     56       259.408        3.8549
     63       258.671        3.8659
