# ring_dco_muxtap freq-vs-code sweep  bits=6 corner=typical vdd=3.3 temp=25.0
#  code      freq_MHz     period_ns
      0       433.408        2.3073
      4       332.162        3.0106
      8       269.735        3.7073
     12       226.994        4.4054
     16       196.073        5.1001
     20       172.472        5.7981
     24       153.982        6.4943
     28       139.043        7.1920
     31       129.594        7.7164
     32       126.826        7.8848
     40       107.775        9.2786
     48        93.715       10.6706
     56        82.890       12.0642
     63        75.482       13.2481
