# ring_dco_thermometer freq-vs-code sweep  bits=6 corner=typical vdd=3.3 temp=25.0
#  code      freq_MHz     period_ns
      0        38.901       25.7064
      4        38.046       26.2838
      8        37.227       26.8625
     12        36.442       27.4410
     16        35.690       28.0194
     20        34.968       28.5979
     24        34.274       29.1763
     28        33.608       29.7547
     31        33.125       30.1886
     32        32.967       30.3330
     40        31.756       31.4899
     48        30.631       32.6467
     56        29.583       33.8035
     63        28.723       34.8156
