Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,1036
design__inferred_latch__count,0
design__instance__count,723699
design__instance__area,1.88013E+7
design__instance_unmapped__count,0
synthesis__check_error__count,286
design__max_slew_violation__count__corner:nom_tt_025C_3v30,1
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,1998
design__max_cap_violation__count__corner:nom_tt_025C_3v30,449
power__internal__total,0.01620813086628914
power__switching__total,0.009297127835452557
power__leakage__total,1.199290409203968E-7
power__total,0.02550537884235382
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.3826367941909577
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.3184079479092224
timing__hold__ws__corner:nom_tt_025C_3v30,0.41273541308457823
timing__setup__ws__corner:nom_tt_025C_3v30,6.0764319740243335
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.412735
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,18.627031
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,1998
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,442
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.3693342125559788
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.30799760835749274
timing__hold__ws__corner:nom_ff_n40C_3v60,0.2668481067199692
timing__setup__ws__corner:nom_ff_n40C_3v60,7.692280807829381
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.266848
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,18.868193
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,49
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,1998
design__max_cap_violation__count__corner:nom_ss_125C_3v00,451
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.4319067170604313
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.33842393734167525
timing__hold__ws__corner:nom_ss_125C_3v00,0.6435887560605689
timing__setup__ws__corner:nom_ss_125C_3v00,2.6872869135010786
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,0.0
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,0.0
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,0.643589
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,18.259687
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,0
design__max_slew_violation__count,61
design__max_fanout_violation__count,1998
design__max_cap_violation__count,915
clock__skew__worst_hold,-0.3552602479416742
clock__skew__worst_setup,0.297530869474517
timing__hold__ws,0.2633402459521545
timing__setup__ws,2.5244678173536523
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.263340
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,18.203032
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 3932.0 5122.0
design__core__bbox,442.4 442.96 3489.92 4676.56
design__io,60
design__die__area,2.01397E+7
design__core__area,1.2902E+7
design__instance__count__stdcell,258915
design__instance__area__stdcell,5.34584E+6
design__instance__count__macros,5
design__instance__area__macros,124202
design__instance__count__padcells,1140
design__instance__area__padcells,5.7751E+6
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.423969
design__instance__utilization__stdcell,0.41837
design__rows,1080
design__rows:unithd,1080
design__sites,5877360
design__sites:unithd,5877360
design__instance__count__class:macro,5
design__instance__area__class:macro,124202
design__instance__count__class:input_pad,7
design__instance__area__class:input_pad,183750
design__instance__count__class:input_output_pad,49
design__instance__area__class:input_output_pad,1.28625E+6
design__instance__count__class:power_pad,18
design__instance__area__class:power_pad,472500
design__instance__count__class:tie_cell,508
design__instance__area__class:tie_cell,4460.65
design__instance__count__class:inverter,10168
design__instance__area__class:inverter,89283.2
design__instance__count__class:sequential_cell,31195
design__instance__area__class:sequential_cell,1.85423E+6
design__instance__count__class:multi_input_combinational_cell,71085
design__instance__area__class:multi_input_combinational_cell,1.66577E+6
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:IFP-0028,1
flow__warnings__count:ODB-0220,82
flow__warnings__count:ORD-2001,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:pad_spacer,1066
design__instance__area__class:pad_spacer,3.8326E+6
flow__warnings__count:PAD-0033,4
design__instance__count__class:tap_cell,86023
design__instance__area__class:tap_cell,377675
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count,0
flow__warnings__count:GRT-0281,39
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,210743
design__instance__displacement__mean,0.815
design__instance__displacement__max,16.971
route__wirelength__estimated,1.00947E+7
design__violations,0
design__instance__count__class:timing_repair_buffer,55543
design__instance__area__class:timing_repair_buffer,1.18594E+6
flow__warnings__count:STA-1140,52
design__instance__count__class:clock_buffer,3138
design__instance__area__class:clock_buffer,155706
design__instance__count__class:clock_inverter,904
design__instance__area__class:clock_inverter,11230.6
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,31790
flow__warnings__count:RSZ-0064,1
global_route__vias,99
global_route__wirelength,14819784
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,292
design__instance__count__class:antenna_cell,351
design__instance__area__class:antenna_cell,1541.03
route__net,170948
route__net__special,60
route__drc_errors__iter:0,137
route__wirelength__iter:0,11753591
route__drc_errors__iter:1,30
route__wirelength__iter:1,11753557
route__drc_errors__iter:2,20
route__wirelength__iter:2,11753545
route__drc_errors__iter:3,0
route__wirelength__iter:3,11753453
route__drc_errors__iter:4,3
route__wirelength__iter:4,11753679
